benchmark,condition,total_tokens,peak_kv_cache_usage_fraction,avg_process_cpu_percent,latency_s,mean_peak_kv_mib,mean_peak_kv_gib
MATH,chatbot,488.6666666666667,0.004326890471346223,58.308912853835146,2.649521046333636,106.33766022380479,0.10384537131230936
MATH,agent,687.2,0.004135300101729393,84.49382308589422,2.1599815798612934,101.62913530010155,0.09924720244150542
HotpotQA,chatbot,1334.8,0.009521871820956273,58.67798665212102,0.26321917133949074,234.00952187182136,0.22852492370295055
HotpotQA,agent,698.0,0.0050152594099695195,104.29790703149534,0.8710850105271675,123.25501525941091,0.12036622583926847
HumanEval,chatbot,317.0,0.0028280773143438687,58.68071908556498,1.203346480266191,69.50282807731492,0.06787385554425285
HumanEval,agent,834.4,0.004593082400813841,61.35058052227077,2.676083983806893,112.87959308240096,0.11023397761953219
WebShop,chatbot,105.0,0.0009867751780264112,99.89885821170574,0.17199332972522824,24.250986775177083,0.02368260427263387
WebShop,agent,9354.4,0.010683282468633445,74.40645581441795,1.8888917394603293,262.55234994913553,0.25639877924720267
